CodInst,NomeInstituicao,Segmento
05841967,IF 05841967,N/D
05856736,IF 05856736,N/D
05861932,IF 05861932,N/D
05863726,IF 05863726,N/D
05883884,IF 05883884,N/D
05888589,IF 05888589,N/D
05938780,IF 05938780,N/D
05940203,IF 05940203,N/D
05956581,IF 05956581,N/D
05969937,IF 05969937,N/D
05979692,IF 05979692,N/D
05983995,IF 05983995,N/D
06031727,IF 06031727,N/D
06040559,IF 06040559,N/D
06077760,IF 06077760,N/D
06078926,IF 06078926,N/D
06126780,IF 06126780,N/D
06132348,IF 06132348,N/D
06139650,IF 06139650,N/D
06174009,IF 06174009,N/D
06249129,IF 06249129,N/D
06271464,IF 06271464,N/D
06284531,IF 06284531,N/D
06324872,IF 06324872,N/D
06332931,IF 06332931,N/D
06339468,IF 06339468,N/D
06369729,IF 06369729,N/D
06373777,IF 06373777,N/D
06881898,IF 06881898,N/D
06910457,IF 06910457,N/D
06942423,IF 06942423,N/D
06975532,IF 06975532,N/D
07026923,IF 07026923,N/D
07070495,IF 07070495,N/D
07097064,IF 07097064,N/D
07122321,IF 07122321,N/D
07138049,IF 07138049,N/D
07194313,IF 07194313,N/D
07202627,IF 07202627,N/D
07206072,IF 07206072,N/D
07207996,IF 07207996,N/D
07215632,IF 07215632,N/D
07237373,Banco do Estado do Pará S.A.,S4
07252614,IF 07252614,N/D
07253654,IF 07253654,N/D
07268499,IF 07268499,N/D
07299480,IF 07299480,N/D
07318874,IF 07318874,N/D
07320890,IF 07320890,N/D
07327045,IF 07327045,N/D
07333726,IF 07333726,N/D
07397614,IF 07397614,N/D
07412987,IF 07412987,N/D
07437241,IF 07437241,N/D
07441209,IF 07441209,N/D
07450604,IF 07450604,N/D
07465539,IF 07465539,N/D
07469260,IF 07469260,N/D
07494300,IF 07494300,N/D
07502031,IF 07502031,N/D
07509426,IF 07509426,N/D
07512441,IF 07512441,N/D
07512780,IF 07512780,N/D
07554076,IF 07554076,N/D
07599206,IF 07599206,N/D
07631026,IF 07631026,N/D
07651495,IF 07651495,N/D
07652226,IF 07652226,N/D
07656500,IF 07656500,N/D
07669921,IF 07669921,N/D
07679404,IF 07679404,N/D
07693858,IF 07693858,N/D
07707650,Banco Modal S.A.,S3
07714057,IF 07714057,N/D
07747410,IF 07747410,N/D
07789195,IF 07789195,N/D
07799277,IF 07799277,N/D
07853842,IF 07853842,N/D
07925729,IF 07925729,N/D
07945233,IF 07945233,N/D
07946216,IF 07946216,N/D
07946451,IF 07946451,N/D
07958405,IF 07958405,N/D
08030215,IF 08030215,N/D
08030602,IF 08030602,N/D
08041950,IF 08041950,N/D
08044854,IF 08044854,N/D
08055016,IF 08055016,N/D
08071414,IF 08071414,N/D
08075352,IF 08075352,N/D
08143326,IF 08143326,N/D
08240446,IF 08240446,N/D
08253539,IF 08253539,N/D
08257293,IF 08257293,N/D
08323197,IF 08323197,N/D
08357240,IF 08357240,N/D
08422119,IF 08422119,N/D
08430732,IF 08430732,N/D
08482873,IF 08482873,N/D
08488377,IF 08488377,N/D
08520517,IF 08520517,N/D
08560508,IF 08560508,N/D
08561701,Banco do Estado do Espírito Santo S.A.,S3
08609934,IF 08609934,N/D
08611734,IF 08611734,N/D
08624548,IF 08624548,N/D
08673569,IF 08673569,N/D
08718431,IF 08718431,N/D
08742188,IF 08742188,N/D
08795285,IF 08795285,N/D
08844074,IF 08844074,N/D
08850613,IF 08850613,N/D
08931800,IF 08931800,N/D
09004796,IF 09004796,N/D
09033698,IF 09033698,N/D
09089356,IF 09089356,N/D
09105360,IF 09105360,N/D
09128022,IF 09128022,N/D
09210106,IF 09210106,N/D
09274232,IF 09274232,N/D
09313766,IF 09313766,N/D
09330158,IF 09330158,N/D
09343038,IF 09343038,N/D
09403026,IF 09403026,N/D
09424988,IF 09424988,N/D
09437293,IF 09437293,N/D
09463721,IF 09463721,N/D
09464032,IF 09464032,N/D
09473806,IF 09473806,N/D
09488496,IF 09488496,N/D
09512539,IF 09512539,N/D
09512542,IF 09512542,N/D
09515813,IF 09515813,N/D
09516419,IF 09516419,N/D
09526594,IF 09526594,N/D
09552111,IF 09552111,N/D
09554480,IF 09554480,N/D
09576849,IF 09576849,N/D
09579249,IF 09579249,N/D
09590601,IF 09590601,N/D
09605581,IF 09605581,N/D
10013534,IF 10013534,N/D
10143499,IF 10143499,N/D
10143743,IF 10143743,N/D
10175348,IF 10175348,N/D
10209619,IF 10209619,N/D
10218474,IF 10218474,N/D
10262276,IF 10262276,N/D
10264663,IF 10264663,N/D
10280601,IF 10280601,N/D
10311218,IF 10311218,N/D
10314753,IF 10314753,N/D
10319386,IF 10319386,N/D
10348181,IF 10348181,N/D
10371492,IF 10371492,N/D
10398952,IF 10398952,N/D
10440482,Banco do Estado do Rio Grande do Sul S.A.,S2
10506341,IF 10506341,N/D
10520232,IF 10520232,N/D
10548608,IF 10548608,N/D
10573521,IF 10573521,N/D
10663610,IF 10663610,N/D
10664513,IF 10664513,N/D
10690848,IF 10690848,N/D
10736214,IF 10736214,N/D
10749264,IF 10749264,N/D
10769660,IF 10769660,N/D
10789035,IF 10789035,N/D
10808037,IF 10808037,N/D
10853017,IF 10853017,N/D
10866788,IF 10866788,N/D
10868663,IF 10868663,N/D
10878448,IF 10878448,N/D
11165756,IF 11165756,N/D
11271860,IF 11271860,N/D
11275560,IF 11275560,N/D
11285104,IF 11285104,N/D
11351086,IF 11351086,N/D
11356599,IF 11356599,N/D
11406965,IF 11406965,N/D
11414839,IF 11414839,N/D
11417016,IF 11417016,N/D
11476673,IF 11476673,N/D
11491029,IF 11491029,N/D
11495073,IF 11495073,N/D
11545653,IF 11545653,N/D
11581339,IF 11581339,N/D
11703662,IF 11703662,N/D
11758741,IF 11758741,N/D
11760553,IF 11760553,N/D
11836226,IF 11836226,N/D
11907520,IF 11907520,N/D
11969853,IF 11969853,N/D
11970623,IF 11970623,N/D
12063256,IF 12063256,N/D
12272183,IF 12272183,N/D
12384953,IF 12384953,N/D
12392983,IF 12392983,N/D
12473687,IF 12473687,N/D
12481100,IF 12481100,N/D
12599971,IF 12599971,N/D
12651789,IF 12651789,N/D
12815827,IF 12815827,N/D
13009717,IF 13009717,N/D
13059145,IF 13059145,N/D
13140088,IF 13140088,N/D
13178690,IF 13178690,N/D
13203354,IF 13203354,N/D
13220493,IF 13220493,N/D
13293225,IF 13293225,N/D
13370835,IF 13370835,N/D
13486793,IF 13486793,N/D
13660104,IF 13660104,N/D
13673855,IF 13673855,N/D
13720915,IF 13720915,N/D
13728156,IF 13728156,N/D
13776742,IF 13776742,N/D
13884775,IF 13884775,N/D
13935893,IF 13935893,N/D
13966572,IF 13966572,N/D
14046512,IF 14046512,N/D
14190547,IF 14190547,N/D
14388334,IF 14388334,N/D
14388516,IF 14388516,N/D
14511781,IF 14511781,N/D
14568725,IF 14568725,N/D
14796606,IF 14796606,N/D
14913919,IF 14913919,N/D
15011719,IF 15011719,N/D
15077393,IF 15077393,N/D
15111975,IF 15111975,N/D
15114366,IF 15114366,N/D
15122605,IF 15122605,N/D
