data_captura,data_referencia,NOME DO CONGLOMERADO,CLASSE DO CONGLOMERADO,CNPJ PARTICIPANTE,NOME DO PARTICIPANTE,TIPO PARTICIPAÇÃO,DATA INÍCIO,UF
2026-07-08,2026-06-01,BANCO PAULISTA - PRUDENCIAL,Privado Nacional,1060-83-61,PAULISTA COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,PARTICIPANTE,2020-07-03,SP
2026-07-08,2026-06-01,BANCO SICOOB - PRUDENCIAL,Privado Nacional,0203-82-32,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,LIDER,2014-01-02,DF
2026-07-08,2026-06-01,BANCO SICOOB - PRUDENCIAL,Privado Nacional,1655-10-61,SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.,PARTICIPANTE,2014-01-02,DF
2026-07-08,2026-06-01,BANCO SICOOB - PRUDENCIAL,Privado Nacional,2821-63-84,SICOOB AGENCIAS FUNDO DE INVESTIMENTO IMOBILIARIO,PARTICIPANTE,2017-09-30,DF
2026-07-08,2026-06-01,BANCO SICOOB - PRUDENCIAL,Privado Nacional,0739-76-14,SICOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PARTICIPANTE,2014-01-02,DF
2026-07-08,2026-06-01,BANCO SICOOB - PRUDENCIAL,Privado Nacional,0376-68-73,SICOOB INSTITUIÇÃO DE PAGAMENTO LTDA.,PARTICIPANTE,2022-01-31,DF
2026-07-08,2026-06-01,BANCO TRAVELEX - PRUDENCIAL,Privado Nacional,1170-36-62,BANCO TRAVELEX S.A.,LIDER,2014-01-02,SP
2026-07-08,2026-06-01,BANCO TRAVELEX - PRUDENCIAL,Privado Nacional,0491-31-29,CONFIDENCE SOCIEDADE CORRETORA DE CAMBIO S.A.,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,BANCO TRAVELEX - PRUDENCIAL,Privado Nacional,6874-22-04,NUMBER ONE SOCIEDADE CORRETORA DE CAMBIO LTDA.,PARTICIPANTE,2025-02-14,RJ
2026-07-08,2026-06-01,BANESTES - PRUDENCIAL,Público Estadual,2812-76-03,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO,LIDER/HOLDING,2014-01-02,ES
2026-07-08,2026-06-01,BANESTES - PRUDENCIAL,Público Estadual,2815-60-57,BANESTES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A,PARTICIPANTE,2014-01-02,ES
2026-07-08,2026-06-01,BANESTES - PRUDENCIAL,Público Estadual,5849-31-28,BANESTES FIC MEZA I FI EM COTAS DE FI EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,2024-12-17,RJ
2026-07-08,2026-06-01,BANK OF CHINA (BRASIL) - PRUDENCIAL,Privado Nacional,0745-06-04,BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A,LIDER/HOLDING,2014-01-02,SP
2026-07-08,2026-06-01,BANK OF CHINA (BRASIL) - PRUDENCIAL,Privado Nacional,1069-08-48,BANCO DA CHINA BRASIL S.A.,PARTICIPANTE,2024-06-07,SP
2026-07-08,2026-06-01,BANK OF CHINA (BRASIL) - PRUDENCIAL,Privado Nacional,0215-14-53,BOC BRASIL ADMINISTRADORA DE CARTOES DE CREDITO LTDA,PARTICIPANTE,2020-10-30,SP
2026-07-08,2026-06-01,BANK OF CHINA (BRASIL) - PRUDENCIAL,Privado Nacional,6972-09-10,BOC BRASIL ARRENDAMENTO MERCANTIL S/A,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,BANK OF CHINA (BRASIL) - PRUDENCIAL,Privado Nacional,6972-08-94,BOC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,BANK OF CHINA (BRASIL) - PRUDENCIAL,Privado Nacional,9276-44-89,"BOC BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS",PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,BANRISUL - PRUDENCIAL,Público Estadual,9270-20-67,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,LIDER/HOLDING,2014-01-02,RS
2026-07-08,2026-06-01,BANRISUL - PRUDENCIAL,Público Estadual,9269-29-79,BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS,PARTICIPANTE,2014-01-02,RS
2026-07-08,2026-06-01,BANRISUL - PRUDENCIAL,Público Estadual,9302-68-47,BANRISUL S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO,PARTICIPANTE,2014-01-02,RS
2026-07-08,2026-06-01,BANRISUL - PRUDENCIAL,Público Estadual,9293-42-15,BANRISUL SOLUÇÕES EM PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,PARTICIPANTE,2014-01-02,RS
2026-07-08,2026-06-01,BARU SCFI - PRUDENCIAL,Privado Nacional,4272-38-48,"BARU SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",LIDER,2024-10-12,RS
2026-07-08,2026-06-01,BARU SCFI - PRUDENCIAL,Privado Nacional,5800-64-71,BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PARTICIPANTE,2024-10-12,RS
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,0000-00-00,BANCO DO BRASIL S.A.,LIDER/HOLDING,2014-01-02,DF
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,0543-72-57,ATIVOS S.A. SECURITIZADORA DE CREDITOS FINANCEIROS,PARTICIPANTE,2014-01-02,DF
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,4398-56-91,BB  VENTURES I FIP MULTIESTRATEGIA - INVESTIMENTO NO  EXTERIOR - RESPONSABILIDADE LIMITADA,PARTICIPANTE,2022-02-01,SP
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,3159-13-99,BB ADMINISTRADORA DE CARTOES DE CREDITO S A,PARTICIPANTE,2014-01-02,DF
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,0604-30-50,BB ADMINISTRADORA DE CONSORCIOS S.A.,PARTICIPANTE,2014-01-02,DF
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,5478-42-79,BB AGRO SELECAO FIF DA CLASSE DE INVESTIMENTO EM COTAS ACOES - RESP LIMITADA,PARTICIPANTE,2024-07-31,SP
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,6443-97-50,BB ASSET ACOES GAMES FUNDO DE INVESTIMENTO EM COTAS DE FIF RESPONSABILIDADE LIMITADA,PARTICIPANTE,2026-05-01,RJ
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,5318-06-20,BB ASSET DISTRIBUICAO ITAU ACOES AGRO FIC FIF RESPONSABILIDADE LIMITADA,PARTICIPANTE,2025-07-01,RJ
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,6444-25-39,BB ASSET RENDA FIXA DEBENTURES INCENTIVADAS CDI FIC FIF EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA,PARTICIPANTE,2026-05-01,RJ
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,3082-29-36,BB GESTÃO DE RECURSOS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PARTICIPANTE,2014-01-02,RJ
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,4310-25-44,BB IMPACTO IS I FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA RESPONSABILIDADE LIMITADA,PARTICIPANTE,2022-01-31,SP
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,6319-74-76,BB MULTIMERCADO OAKTREE GLOBAL CREDIT HEDGE  INSTITUCIONAL FIC FIF CREDITO PRIVADO RESP LIMITADA,PARTICIPANTE,2026-03-01,RJ
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,6445-16-21,BB RENDA FIXA DEBENTURES INCENTIVADAS CDI EMPRESA FIC FIF EM INFRAESTRUTURA RESP LIMITADA,PARTICIPANTE,2026-05-01,RJ
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,6369-75-42,BB VENTURES II FUNDO DE  INVESTIMENTO EM PARTICIPACOES MULT  INVESTIMENTO NO EXTERIOR  RESP LIMITADA,PARTICIPANTE,2026-05-01,SP
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,2493-38-30,BB-BANCO DE INVESTIMENTO S/A,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,3154-64-76,BB-LEASING S/A ARRENDAMENTO MERCANTIL,PARTICIPANTE,2014-01-02,DF
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,6553-49-81,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NPL - ATIVOS I,PARTICIPANTE,2026-04-01,
2026-07-08,2026-06-01,BB - PRUDENCIAL,Público Federal,4004-13-16,FUNDO DE INVESTIMENTO EM PARTICIPACOES AGVENTURES II MULTIESTRATEGIA,PARTICIPANTE,2021-10-31,SP
2026-07-08,2026-06-01,BBC S.A. - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,0185-21-37,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA,LIDER,2014-08-05,SP
2026-07-08,2026-06-01,BBC S.A. - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,3677-06-83,BBC ADMINISTRADORA DE CONSÓRCIOS LTDA,PARTICIPANTE,2020-08-26,SP
2026-07-08,2026-06-01,BCO ABN AMRO CLEARING - PRUDENCIAL,Privado Nacional,0353-24-15,BANCO ABN AMRO CLEARING S.A.,LIDER/HOLDING,2014-01-02,SP
2026-07-08,2026-06-01,BCO ABN AMRO CLEARING - PRUDENCIAL,Privado Nacional,4452-74-44,ABN AMRO CLEARING CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PARTICIPANTE,2022-05-10,SP
2026-07-08,2026-06-01,BCO CLASSICO S.A. - PRUDENCIAL,Privado Nacional,3159-75-52,BANCO CLASSICO S.A.,LIDER/HOLDING,2014-01-02,RJ
2026-07-08,2026-06-01,BCO CLASSICO S.A. - PRUDENCIAL,Privado Nacional,1076-53-99,BANCLASS FUNDO DE INVESTIMENTO FINANCEIRO EM ACOES - RESPONSABILIDADE LIMITADA,PARTICIPANTE,2019-11-11,RJ
2026-07-08,2026-06-01,BCO CLASSICO S.A. - PRUDENCIAL,Privado Nacional,0819-60-03,FUNDO DE INVESTIMENTO DE AÇåES DINÂMICA ENERGIA,PARTICIPANTE,2019-11-11,RJ
