data_captura,data_base,documento,cnpj,agencia,nome_instituicao,cod_congl,nome_congl,taxonomia,conta,nome_conta,saldo
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1813000007,TÍTULOS COM CARACTERÍSTICA DE CONCESSÃO DE CRÉDITO,93120556756.53
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1815000005,DIREITOS CREDITÓRIOS ADQUIRIDOS,5405842697.89
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1830000004,Rendas a Receber,10281001621.94
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1834000000,COMISSÕES POR COOBRIGAÇÕES A RECEBER,8620053.77
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1836000008,DIVIDENDOS E BONIFICAÇÕES EM DINHEIRO A RECEBER,5182110118.54
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1837000007,SERVIÇOS PRESTADOS A RECEBER,3892432688.17
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1838000006,SERVIÇOS PRESTADOS EM ARRANJO DE PAGAMENTO,635618738.88
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1839000005,OUTRAS RENDAS A RECEBER,562220022.58
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1840000001,Negociação e Intermediação de Valores,487576497.94
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1840500006,BOLSAS - DEPÓSITOS EM GARANTIA,487560789.23
