data_base,AnoMes,CodInst,TipoInstituicao,NomeInstituicao,Segmento,ativo_total,NomeRelatorio,NumeroRelatorio,78191,78192,78193,78194,78195,78196,78197,78198,78202,aplicacoes_interfinanceiras,disponibilidades,outros_ativos_realizaveis,outros_creditos_liquido,permanente_ajustado,tvm_derivativos
2024-12-31,202412,71336432,3,IF 71336432,N/D,7350017404.0,Ativo,2,4237200529.0,-257885278.0,3979315251.0,0.0,0.0,0.0,0.0,0.0,7350017404.0,0.0,30824409.0,2948879907.0,55413049.0,151737109.0,183847679.0
2024-03-31,202403,71384697,3,IF 71384697,N/D,901921809.0,Ativo,2,761897377.0,-5664347.0,75623303.0,0.0,0.0,0.0,0.0,0.0,901921809.0,0.0,12223163.0,0.0,15263084.0,57388034.0,60814498.0
2024-06-30,202406,71384697,3,IF 71384697,N/D,908885541.0,Ativo,2,750838699.0,-6014656.0,744824043.0,0.0,0.0,0.0,0.0,0.0,908885541.0,0.0,6390183.0,0.0,17273688.0,57272025.0,83125602.0
2024-09-30,202409,71384697,3,IF 71384697,N/D,910157091.0,Ativo,2,748286405.0,-6134334.0,742152071.0,0.0,0.0,0.0,0.0,0.0,910157091.0,0.0,7926787.0,0.0,17199591.0,56357238.0,86521404.0
2024-12-31,202412,71384697,3,IF 71384697,N/D,905551429.0,Ativo,2,755070331.0,-9142604.0,745927727.0,0.0,0.0,0.0,0.0,0.0,905551429.0,0.0,830157.0,0.0,18788036.0,55522972.0,84482537.0
2024-03-31,202403,71392047,3,IF 71392047,N/D,51884608628.0,Ativo,2,22967919018.0,-796586244.0,22171332774.0,0.0,0.0,0.0,0.0,0.0,51884608628.0,0.0,98960194.0,25651374323.0,170819807.0,350039354.0,3442082176.0
2024-06-30,202406,71392047,3,IF 71392047,N/D,52623434743.0,Ativo,2,23856160936.0,-832763199.0,23023397737.0,0.0,0.0,0.0,0.0,0.0,52623434743.0,0.0,54058293.0,24387125955.0,386594114.0,331726381.0,4440532263.0
2024-09-30,202409,71392047,3,IF 71392047,N/D,63346640746.0,Ativo,2,25304389237.0,-935304262.0,24369084975.0,0.0,0.0,0.0,0.0,0.0,63346640746.0,0.0,112116081.0,33589441874.0,187088998.0,313946141.0,4774962677.0
2024-12-31,202412,71392047,3,IF 71392047,N/D,6348218166.0,Ativo,2,22926813961.0,-870767724.0,22056046237.0,0.0,0.0,0.0,0.0,0.0,6348218166.0,195336463.0,62756567.0,32683402226.0,476934308.0,31723406.0,5932443632.0
2024-03-31,202403,71418784,3,IF 71418784,N/D,35945989816.0,Ativo,2,1248031096.0,-47479487.0,1200551609.0,0.0,0.0,0.0,0.0,0.0,35945989816.0,0.0,212081838.0,20902268075.0,1895975395.0,173240476.0,756907942.0
2024-06-30,202406,71418784,3,IF 71418784,N/D,36639788199.0,Ativo,2,12005539166.0,-494248291.0,11511290875.0,0.0,0.0,0.0,0.0,0.0,36639788199.0,0.0,192432801.0,22023065025.0,1987623265.0,168413791.0,756962442.0
2024-09-30,202409,71418784,3,IF 71418784,N/D,3849377024.0,Ativo,2,1188701509.0,-554677884.0,11332337206.0,0.0,0.0,0.0,0.0,0.0,3849377024.0,0.0,168746211.0,23851408585.0,2215776929.0,168538867.0,756962442.0
2024-12-31,202412,71418784,3,IF 71418784,N/D,38620731018.0,Ativo,2,11673196904.0,-578402436.0,11094794468.0,0.0,0.0,0.0,0.0,0.0,38620731018.0,0.0,165807355.0,2393968675.0,2504607959.0,158872044.0,756962442.0
2024-03-31,202403,71419600,3,IF 71419600,N/D,80479955705.0,Ativo,2,39235435374.0,-2769341797.0,36466093577.0,0.0,0.0,0.0,0.0,0.0,80479955705.0,4163928048.0,180110889.0,20758738342.0,464985968.0,98033515.0,17465763731.0
2024-06-30,202406,71419600,3,IF 71419600,N/D,87566189512.0,Ativo,2,44478632665.0,-2738843919.0,41739788746.0,0.0,0.0,0.0,0.0,0.0,87566189512.0,4270127449.0,180161549.0,17519079266.0,627921006.0,964221847.0,22264889649.0
2024-09-30,202409,71419600,3,IF 71419600,N/D,88517419351.0,Ativo,2,46369772168.0,-2831467294.0,43538304874.0,0.0,0.0,0.0,0.0,0.0,88517419351.0,4383404606.0,195733277.0,15741248929.0,479242379.0,945704084.0,23233781202.0
2024-12-31,202412,71419600,3,IF 71419600,N/D,10244310161.0,Ativo,2,5383496507.0,-2968133626.0,50866831444.0,0.0,0.0,0.0,0.0,0.0,10244310161.0,4501398172.0,237654687.0,2115478550.0,604323005.0,944510448.0,24133598354.0
2024-03-31,202403,71432926,3,IF 71432926,N/D,24714032375.0,Ativo,2,9239237931.0,-344159494.0,8895078437.0,0.0,0.0,0.0,0.0,0.0,24714032375.0,0.0,7428201.0,12350193571.0,173765767.0,78122308.0,875597607.0
2024-06-30,202406,71432926,3,IF 71432926,N/D,2629576298.0,Ativo,2,9015151628.0,-493378863.0,8521772765.0,0.0,0.0,0.0,0.0,0.0,2629576298.0,0.0,65339079.0,1429787180.0,1762891597.0,772235632.0,875652107.0
2024-09-30,202409,71432926,3,IF 71432926,N/D,27438995944.0,Ativo,2,9865613041.0,-520119828.0,9345493213.0,0.0,0.0,0.0,0.0,0.0,27438995944.0,0.0,56782494.0,14467470195.0,1929957721.0,763640214.0,875652107.0
2024-12-31,202412,71432926,3,IF 71432926,N/D,28427957677.0,Ativo,2,9809061691.0,-357096812.0,9451964879.0,0.0,0.0,0.0,0.0,0.0,28427957677.0,0.0,52943663.0,15214467541.0,2073218349.0,759711138.0,875652107.0
2024-03-31,202403,71441406,3,IF 71441406,N/D,29027032231.0,Ativo,2,12817604272.0,-94494983.0,11872654442.0,0.0,0.0,0.0,0.0,0.0,29027032231.0,0.0,261748931.0,1549339004.0,277394903.0,628215392.0,493628523.0
2024-06-30,202406,71441406,3,IF 71441406,N/D,32447187022.0,Ativo,2,14116927815.0,-1111626238.0,13005301577.0,0.0,0.0,0.0,0.0,0.0,32447187022.0,0.0,241656486.0,17593120067.0,466494906.0,643119642.0,497494344.0
2024-09-30,202409,71441406,3,IF 71441406,N/D,34531591826.0,Ativo,2,14567289097.0,-1135256127.0,1343203297.0,0.0,0.0,0.0,0.0,0.0,34531591826.0,0.0,230797731.0,19321413521.0,333424851.0,630536319.0,583386434.0
2024-12-31,202412,71441406,3,IF 71441406,N/D,34408628776.0,Ativo,2,16373909554.0,-1227110337.0,15146799217.0,0.0,0.0,0.0,0.0,0.0,34408628776.0,0.0,246949009.0,17308039031.0,451123326.0,617466886.0,638251307.0
2024-03-31,202403,71491609,3,IF 71491609,N/D,27904336.0,Ativo,2,1403771.0,-807.0,1395701.0,0.0,0.0,0.0,0.0,0.0,27904336.0,0.0,400826.0,0.0,0.0,0.0,26107809.0
2024-06-30,202406,71491609,3,IF 71491609,N/D,28543602.0,Ativo,2,2398861.0,-11994.0,2386867.0,0.0,0.0,0.0,0.0,0.0,28543602.0,0.0,789185.0,0.0,0.0,0.0,2536755.0
2024-09-30,202409,71491609,3,IF 71491609,N/D,29538925.0,Ativo,2,9495032.0,-47175.0,9447857.0,0.0,0.0,0.0,0.0,0.0,29538925.0,0.0,707199.0,0.0,0.0,0.0,19383869.0
2024-12-31,202412,71491609,3,IF 71491609,N/D,3113474.0,Ativo,2,13331733.0,-66659.0,13265074.0,0.0,0.0,0.0,0.0,0.0,3113474.0,0.0,1485032.0,0.0,0.0,0.0,16384634.0
2024-03-31,202403,71502181,3,IF 71502181,N/D,77820655.0,Ativo,2,53858234.0,-269291.0,53588943.0,0.0,0.0,0.0,0.0,0.0,77820655.0,16802081.0,3550343.0,0.0,20000.0,486.0,3674428.0
2024-06-30,202406,71502181,3,IF 71502181,N/D,75252648.0,Ativo,2,63324886.0,-316624.0,63008262.0,0.0,0.0,0.0,0.0,0.0,75252648.0,4245536.0,4124418.0,0.0,200004.0,0.0,3674428.0
2024-09-30,202409,71502181,3,IF 71502181,N/D,7671517.0,Ativo,2,6505089.0,-325254.0,64725636.0,0.0,0.0,0.0,0.0,0.0,7671517.0,4317853.0,3997253.0,0.0,0.0,0.0,3674428.0
2024-12-31,202412,71502181,3,IF 71502181,N/D,7693944.0,Ativo,2,71873503.0,-359367.0,71514136.0,0.0,0.0,0.0,0.0,0.0,7693944.0,146364.0,542712.0,0.0,106180.0,0.0,3674428.0
2024-03-31,202403,71506513,3,IF 71506513,N/D,17145673625.0,Ativo,2,7798433348.0,-194909969.0,7603523379.0,0.0,0.0,0.0,0.0,0.0,17145673625.0,1962379183.0,34307456.0,6399923369.0,151510115.0,237399665.0,756630458.0
2024-06-30,202406,71506513,3,IF 71506513,N/D,17923935954.0,Ativo,2,7620484691.0,-289714115.0,7330770576.0,0.0,0.0,0.0,0.0,0.0,17923935954.0,2011574939.0,26893877.0,7133163471.0,220727407.0,233819436.0,966986248.0
2024-09-30,202409,71506513,3,IF 71506513,N/D,17986637217.0,Ativo,2,7513895102.0,-41238751.0,7101507592.0,0.0,0.0,0.0,0.0,0.0,17986637217.0,3307117158.0,34172256.0,5861792873.0,153061784.0,236853821.0,1292131733.0
2024-12-31,202412,71506513,3,IF 71506513,N/D,18484515779.0,Ativo,2,7483007925.0,-422964098.0,7060043827.0,0.0,0.0,0.0,0.0,0.0,18484515779.0,3144623495.0,51057363.0,6296327595.0,208140127.0,234785357.0,1489538015.0
2024-03-31,202403,71590442,3,IF 71590442,N/D,12603227.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12603227.0,60015316.0,11531024.0,1422515.0,25053979.0,638070.0,21628736.0
2024-06-30,202406,71590442,3,IF 71590442,N/D,12164192.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12164192.0,48035647.0,11812897.0,7893204.0,28183543.0,6727019.0,1898961.0
2024-09-30,202409,71590442,3,IF 71590442,N/D,136309283.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136309283.0,56021262.0,20554108.0,5748869.0,27198209.0,7242787.0,19544048.0
2024-12-31,202412,71590442,3,IF 71590442,N/D,12262146.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12262146.0,53740052.0,2607319.0,345952.0,28140499.0,6869827.0,30917811.0
2024-03-31,202403,71677850,3,IF 71677850,N/D,14749049476.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14749049476.0,0.0,4371587397.0,245040251.0,1009292486.0,14777712.0,24719256.0
2024-06-30,202406,71677850,3,IF 71677850,N/D,7820503996.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7820503996.0,0.0,4866624439.0,3289766.0,2718410856.0,177851785.0,24719256.0
2024-09-30,202409,71677850,3,IF 71677850,N/D,4925459657.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4925459657.0,0.0,2369031336.0,4035770.0,2313716544.0,177634821.0,24719256.0
2024-12-31,202412,71677850,3,IF 71677850,N/D,8154314995.0,Ativo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8154314995.0,0.0,502501667.0,54506532.0,2877523083.0,172549454.0,24719256.0
